Country,Total,Employment_Age,Employed,Employed_percent,Canton
Eritrea,604,328,98,0.29878048780487804,TI
Somalia,20,12,0,0,TI
Afghanistan,115,70,20,0.2857142857142857,TI
China (Volksrepublik),3,3,2,0.66666666666666663,TI
Irak,15,9,2,0.22222222222222221,TI
Iran,33,25,5,0.2,TI
Sri Lanka,80,61,34,0.55737704918032782,TI
Syrien,285,160,27,0.16875000000000001,TI
Türkei,158,112,17,0.15178571428571427,TI
Eritrea,123,81,59,0.72839506172839508,UR
Afghanistan,23,12,5,0.41666666666666669,UR
China (Volksrepublik),4,4,4,1,UR
Irak,5,3,1,0.33333333333333331,UR
Iran,3,3,1,0.33333333333333331,UR
Sri Lanka,37,24,19,0.79166666666666663,UR
Syrien,44,24,11,0.45833333333333331,UR
Türkei,48,28,6,0.21428571428571427,UR
Äthiopien,79,44,15,0.34090909090909088,VD
Eritrea,1967,1169,433,0.37040205303678359,VD
Somalia,130,71,14,0.19718309859154928,VD
Afghanistan,520,306,63,0.20588235294117646,VD
China (Volksrepublik),29,20,13,0.65,VD
Irak,129,84,16,0.19047619047619047,VD
Iran,94,63,16,0.25396825396825395,VD
Sri Lanka,357,228,134,0.58771929824561409,VD
Syrien,1419,763,183,0.2398427260812582,VD
Türkei,665,411,54,0.13138686131386862,VD
Äthiopien,41,20,8,0.4,VS
Eritrea,639,380,178,0.46842105263157896,VS
Somalia,59,25,10,0.4,VS
Afghanistan,241,136,38,0.27941176470588236,VS
China (Volksrepublik),12,9,7,0.77777777777777779,VS
Irak,59,28,13,0.4642857142857143,VS
Iran,33,18,6,0.33333333333333331,VS
Sri Lanka,99,60,37,0.6166666666666667,VS
Syrien,480,246,75,0.3048780487804878,VS
Türkei,278,179,39,0.21787709497206703,VS
