Country,Total,Employment_Age,Employed,Employed_percent,Canton,Date
Irak,3,3,2,0.66666666666666663,TG,2022-01
Iran,19,17,8,0.47058823529411764,TG,2022-01
Sri Lanka,53,35,26,0.74285714285714288,TG,2022-01
Syrien,204,119,43,0.36134453781512604,TG,2022-01
Türkei,71,53,9,0.16981132075471697,TG,2022-01
Gesamttotal,1369,804,177,0.22014925373134328,TI,2022-01
Äthiopien,8,6,0,0,TI,2022-01
Eritrea,607,329,79,0.24012158054711247,TI,2022-01
Somalia,16,10,2,0.2,TI,2022-01
Afghanistan,113,65,14,0.2153846153846154,TI,2022-01
China (Volksrepublik),3,3,2,0.66666666666666663,TI,2022-01
Irak,14,9,1,0.1111111111111111,TI,2022-01
Iran,32,24,3,0.125,TI,2022-01
Sri Lanka,89,63,27,0.42857142857142855,TI,2022-01
Syrien,276,153,27,0.17647058823529413,TI,2022-01
Türkei,117,80,7,8.7499999999999994E-2,TI,2022-01
Gesamttotal,316,193,97,0.50259067357512954,UR,2022-01
Eritrea,140,87,50,0.57471264367816088,UR,2022-01
Afghanistan,19,11,6,0.54545454545454541,UR,2022-01
China (Volksrepublik),4,4,3,0.75,UR,2022-01
Irak,5,3,2,0.66666666666666663,UR,2022-01
Iran,2,2,0,0,UR,2022-01
Sri Lanka,36,23,17,0.73913043478260865,UR,2022-01
Syrien,46,26,11,0.42307692307692307,UR,2022-01
Türkei,37,24,4,0.16666666666666666,UR,2022-01
Gesamttotal,5531,3272,928,0.28361858190709044,VD,2022-01
Äthiopien,74,38,12,0.31578947368421051,VD,2022-01
Eritrea,1939,1168,384,0.32876712328767121,VD,2022-01
Somalia,149,78,22,0.28205128205128205,VD,2022-01
Afghanistan,459,272,55,0.20220588235294118,VD,2022-01
China (Volksrepublik),32,21,13,0.61904761904761907,VD,2022-01
Irak,134,79,15,0.189873417721519,VD,2022-01
Iran,89,60,13,0.21666666666666667,VD,2022-01
Sri Lanka,353,231,126,0.54545454545454541,VD,2022-01
Syrien,1322,717,165,0.23012552301255229,VD,2022-01
Türkei,472,304,38,0.125,VD,2022-01
Gesamttotal,2003,1131,383,0.33863837312113176,VS,2022-01
Äthiopien,40,18,6,0.33333333333333331,VS,2022-01
Eritrea,632,383,159,0.41514360313315929,VS,2022-01
Somalia,56,25,7,0.28000000000000003,VS,2022-01
Afghanistan,205,110,36,0.32727272727272727,VS,2022-01
China (Volksrepublik),13,10,7,0.7,VS,2022-01
Irak,58,27,10,0.37037037037037035,VS,2022-01
Iran,33,19,7,0.36842105263157893,VS,2022-01
Sri Lanka,111,66,36,0.54545454545454541,VS,2022-01
Syrien,456,228,55,0.2412280701754386,VS,2022-01
Türkei,205,130,26,0.2,VS,2022-01
Gesamttotal,8923,5529,2498,0.45179960209802855,ZH,2022-01
Äthiopien,85,58,31,0.53448275862068961,ZH,2022-01
Eritrea,3275,2049,1047,0.51098096632503665,ZH,2022-01
Somalia,277,160,66,0.41249999999999998,ZH,2022-01
Afghanistan,526,310,113,0.36451612903225805,ZH,2022-01
